decade,position,artist,song,indicativerevenue,us,uk,de,fr,ca,au
"2010s","173","XXXTentacion","Sad!","10019.809148128","1","5","12","23","2","4"
"2010s","174","Rag'n'Bone Man","Human","9982.38903699897","74","2","1","2","53","17"
"2010s","175","Taylor Swift","I Knew You Were Trouble","9957.92516346682","2","2","9","14","2","3"
"2010s","176","Post Malone & Quavo","Congratulations","9910.65564890298","8","26","88","112","14","30"
"2010s","177","Drake","Nice For What","9881.16801152805","1","1","9","28","1","1"
"2010s","178","Alex Clare","Too Close","9861.01126180471","7","4","1","9","14","-"
"2010s","179","Flo-Rida","Whistle","9850.31755906055","1","2","2","2","1","1"
"2010s","180","Bruno Mars","When I Was Your Man","9811.55346418799","1","2","23","9","3","6"
"2010s","181","Ellie Goulding","Burn","9794.72769735298","13","1","4","9","14","6"
"2010s","182","Capital Cities","Safe And Sound","9778.01883404703","8","42","1","15","5","16"
"2010s","183","Coldplay","Paradise","9762.26544042743","15","1","12","5","13","3"
"2010s","184","Zayn & Taylor Swift","I Don't Wanna Live Forever (Fifty Shades Darker)","9732.50678254815","2","5","2","4","2","3"
"2010s","185","Martin Garrix","Animals","9721.73842500538","21","1","4","2","40","29"
"2010s","186","Usher & Pitbull","DJ Got Us Fallin' In Love","9700.607834961","4","7","5","3","2","3"
"2010s","187","AWOLNATION","Sail","9683.96263489513","17","17","58","48","48","27"
"2010s","188","Flo-Rida & Sia","The Wild Ones","9627.43287019542","5","4","6","11","1","1"
"2010s","189","Alan Walker","Faded","9603.71106624137","80","7","1","1","32","2"
"2010s","190","DJ Khaled, Rihanna & Bryson Tiller","Wild Thoughts","9569.95435206058","2","1","4","2","2","2"
"2010s","191","Ariana Grande","No Tears Left To Cry","9550.53301894092","3","2","2","4","2","1"
"2010s","192","Calvin Harris","Summer","9550.00348992101","7","1","3","15","3","4"
"2010s","193","One Direction","What Makes You Beautiful","9549.48382329203","4","1","40","39","7","7"
"2010s","194","Lady GaGa","Born This Way","9545.29214279793","1","3","1","2","1","1"
"2010s","195","Rihanna","S&M","9543.9334512214","2","3","2","3","3","1"
"2010s","196","Khalid","Better","9521.87714544721","8","15","49","185","14","6"
"2010s","197","Ellie Goulding","Lights","9520.88715572754","2","49","11","29","7","-"
"2010s","198","DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne","I'm The One","9515.86470487426","1","1","4","11","1","1"
"2010s","199","Swedish House Mafia & John Martin","Don't You Worry Child","9505.1525307763","6","1","9","37","9","1"
"2010s","200","Twenty One Pilots","Ride","9299.25762555014","5","47","21","12","13","18"
